time,异环,火炬之光：无限,洛克王国：世界,鸣潮,心动小镇,原神,超自然行动组,明日方舟：终末地,和平精英,三角洲行动,伊瑟,明日方舟,崩坏：星穹铁道,燕云十六声,绝区零,幻塔
2026-05-27 12:29,7021,8848,3231,1334,986,1210,1405,400,1154,902,800,1142,1068,806,776,84
2026-05-27 15:00,5568,9188,3553,1525,1049,1241,1642,1154,1328,1062,813,1107,1161,838,718,77
2026-05-27 16:00,6369,9386,3865,1717,1092,1365,1791,1253,1424,1168,830,1211,1281,890,707,73
2026-05-27 17:00,5048,8366,3556,1625,910,1271,1838,1231,1432,1082,818,1176,1393,917,777,76
2026-05-27 18:00,6915,9257,4215,1947,1079,1429,2431,1415,1733,1316,859,1351,1325,1027,805,80
2026-05-27 19:00,5142,8972,4757,2208,1447,1789,2893,1634,1962,1574,918,1513,1502,1148,907,86
2026-05-27 20:00,5700,9253,5648,2494,1641,1962,3446,1864,2258,1746,1032,1682,1709,1336,1028,114
2026-05-27 21:00,5846,8467,4891,2925,1743,1740,3852,2108,2503,1980,1113,1900,1909,1524,1163,122
2026-05-27 22:00,5436,8001,5058,2949,1536,1760,3601,2105,2465,2007,1019,1889,1934,1592,1165,131
2026-05-27 23:00,4626,7334,5504,2355,900,1840,2902,1816,2004,1716,927,1645,1725,1355,1071,105
2026-05-28 00:00,3809,6555,3180,1650,1288,1339,2131,1268,1413,1342,734,1163,1317,930,810,81
2026-05-28 01:00,2795,5601,2317,1061,1077,708,1440,817,846,790,571,631,926,591,555,57
2026-05-28 02:00,1917,4486,1667,763,517,715,1221,567,754,674,424,562,641,414,424,61
2026-05-28 03:00,1676,3620,1398,563,519,483,918,372,644,530,365,436,637,318,317,52
2026-05-28 04:00,1397,3057,1055,413,307,419,772,338,539,420,361,389,576,259,272,45
2026-05-28 05:00,1572,2634,921,379,217,392,687,337,492,364,354,347,511,231,258,45
2026-05-28 06:00,1249,2437,874,349,245,365,648,328,480,362,350,348,466,215,272,38
2026-05-28 07:00,1405,2434,865,344,540,326,651,321,491,361,415,360,398,242,277,46
2026-05-28 08:00,2062,2662,910,545,757,454,671,471,539,457,519,472,479,351,335,50
2026-05-28 09:00,3607,3599,1143,485,3180,455,792,513,724,548,669,650,674,439,439,63
2026-05-28 10:00,5813,7400,2062,916,3242,794,977,837,860,653,858,849,849,591,557,79
2026-05-28 11:00,6286,6640,2657,1223,3504,975,1144,1075,1020,753,894,985,965,662,657,78
2026-05-28 12:00,7272,7025,3077,1394,3111,1124,1450,1314,1233,901,956,1162,1085,838,794,114
2026-05-28 13:00,9911,8838,3707,1758,3397,1408,1770,1432,1440,1068,965,1280,1324,944,855,109
2026-05-28 14:00,9899,8450,3539,1535,3379,1237,1599,1241,1350,1025,951,1099,1157,843,677,104
2026-05-28 15:00,7121,7871,3605,1602,3511,1295,1678,1276,1467,1142,1083,1176,1205,903,735,109
